クエリ

SELECT
	CONCAT(e.l_name, ' ', e.f_name) ,
	t.r_date,
	t.work_time
FROM
	employee AS e
INNER JOIN
	time_card AS t
ON
	e.s_id = t.s_id
WHERE
	-- 2012年12月1日から2012年12月31日の間
	t.r_date BETWEEN '2012-12-01' AND '2012-12-31'
ORDER BY
	e.s_id ASC,
	t.r_date ASC
;

実行結果
MariaDB [workbook]> SELECT
    -> CONCAT(e.l_name, ' ', e.f_name) ,
    -> t.r_date,
    -> t.work_time
    -> FROM
    -> employee AS e
    -> INNER JOIN
    -> time_card AS t
    -> ON
    -> e.s_id = t.s_id
    -> WHERE
    -> t.r_date BETWEEN '2012-12-01' AND '2012-12-31'
    -> ORDER BY
    -> e.s_id ASC,
    -> t.r_date ASC
    -> ;
+---------------------------------+------------+-----------+
| CONCAT(e.l_name, ' ', e.f_name) | r_date     | work_time |
+---------------------------------+------------+-----------+
| 大門 一郎                       | 2012-12-01 |         8 |
| 大門 一郎                       | 2012-12-02 |        10 |
| 大門 一郎                       | 2012-12-05 |         8 |
| 大門 一郎                       | 2012-12-06 |         9 |
| 大門 一郎                       | 2012-12-07 |         8 |
| 大門 一郎                       | 2012-12-08 |         8 |
| 大門 一郎                       | 2012-12-09 |         9 |
| 大門 一郎                       | 2012-12-12 |         8 |
| 大門 一郎                       | 2012-12-13 |        10 |
| 大門 一郎                       | 2012-12-14 |         9 |
| 大門 一郎                       | 2012-12-15 |         8 |
| 大門 一郎                       | 2012-12-16 |         8 |
| 大門 一郎                       | 2012-12-19 |         8 |
| 大門 一郎                       | 2012-12-20 |         8 |
| 大門 一郎                       | 2012-12-21 |         9 |
| 大門 一郎                       | 2012-12-22 |         8 |
| 大門 一郎                       | 2012-12-23 |        10 |
| 大門 一郎                       | 2012-12-26 |         8 |
| 大門 一郎                       | 2012-12-27 |         8 |
| 大門 一郎                       | 2012-12-28 |         8 |
| 藤井 雄太                       | 2012-12-01 |         8 |
| 藤井 雄太                       | 2012-12-02 |        10 |
| 藤井 雄太                       | 2012-12-05 |         8 |
| 藤井 雄太                       | 2012-12-06 |         9 |
| 藤井 雄太                       | 2012-12-07 |         8 |
| 藤井 雄太                       | 2012-12-08 |         8 |
| 藤井 雄太                       | 2012-12-09 |         9 |
| 藤井 雄太                       | 2012-12-12 |         8 |
| 藤井 雄太                       | 2012-12-13 |        10 |
| 藤井 雄太                       | 2012-12-14 |         9 |
| 藤井 雄太                       | 2012-12-15 |         8 |
| 藤井 雄太                       | 2012-12-16 |         8 |
| 藤井 雄太                       | 2012-12-19 |         8 |
| 藤井 雄太                       | 2012-12-20 |         8 |
| 藤井 雄太                       | 2012-12-21 |         9 |
| 藤井 雄太                       | 2012-12-22 |         8 |
| 藤井 雄太                       | 2012-12-23 |        10 |
| 藤井 雄太                       | 2012-12-26 |         8 |
| 藤井 雄太                       | 2012-12-27 |         8 |
| 藤井 雄太                       | 2012-12-28 |         8 |
| 藤岡 幸太郎                     | 2012-12-01 |         8 |
| 藤岡 幸太郎                     | 2012-12-02 |        10 |
| 藤岡 幸太郎                     | 2012-12-05 |         8 |
| 藤岡 幸太郎                     | 2012-12-06 |         9 |
| 藤岡 幸太郎                     | 2012-12-07 |         8 |
| 藤岡 幸太郎                     | 2012-12-08 |         8 |
| 藤岡 幸太郎                     | 2012-12-09 |         9 |
| 藤岡 幸太郎                     | 2012-12-12 |         8 |
| 藤岡 幸太郎                     | 2012-12-13 |        10 |
| 藤岡 幸太郎                     | 2012-12-14 |         9 |
| 藤岡 幸太郎                     | 2012-12-15 |         8 |
| 藤岡 幸太郎                     | 2012-12-16 |         8 |
| 藤岡 幸太郎                     | 2012-12-19 |         8 |
| 藤岡 幸太郎                     | 2012-12-20 |         8 |
| 藤岡 幸太郎                     | 2012-12-21 |         9 |
| 藤岡 幸太郎                     | 2012-12-22 |         8 |
| 藤岡 幸太郎                     | 2012-12-23 |        10 |
| 藤岡 幸太郎                     | 2012-12-26 |         8 |
| 藤岡 幸太郎                     | 2012-12-27 |         8 |
| 藤岡 幸太郎                     | 2012-12-28 |         8 |
| 葉山 俊輔                       | 2012-12-01 |         8 |
| 葉山 俊輔                       | 2012-12-02 |        10 |
| 葉山 俊輔                       | 2012-12-05 |         8 |
| 葉山 俊輔                       | 2012-12-06 |         9 |
| 葉山 俊輔                       | 2012-12-07 |         8 |
| 葉山 俊輔                       | 2012-12-08 |         8 |
| 葉山 俊輔                       | 2012-12-09 |         9 |
| 葉山 俊輔                       | 2012-12-12 |         8 |
| 葉山 俊輔                       | 2012-12-13 |        10 |
| 葉山 俊輔                       | 2012-12-14 |         9 |
| 葉山 俊輔                       | 2012-12-15 |         8 |
| 葉山 俊輔                       | 2012-12-16 |         8 |
| 葉山 俊輔                       | 2012-12-19 |         8 |
| 葉山 俊輔                       | 2012-12-20 |         8 |
| 葉山 俊輔                       | 2012-12-21 |         9 |
| 葉山 俊輔                       | 2012-12-22 |         8 |
| 葉山 俊輔                       | 2012-12-23 |        10 |
| 葉山 俊輔                       | 2012-12-26 |         8 |
| 葉山 俊輔                       | 2012-12-27 |         8 |
